userId,trackId,track_rating,album_rating,artist_rating,num_genres,predictor
200124,162126,9,10,11,18,0
200400,263168,71,100,67,20,0
200497,41473,87,78,0,20,1
200561,22468,54,54,59,19,1
200795,133020,135,104,108,19,0
201314,238961,48,32,44,18,0
201450,57625,62,69,80,19,1
201585,208489,83,52,57,15,0
201790,199558,74,36,42,16,0
201866,150962,100,81,75,17,1
201902,31765,67,93,99,18,0
202574,269244,82,68,69,17,0
202897,258824,84,93,80,15,1
203796,74096,58,56,53,17,0
203860,82113,84,82,79,18,0
204029,64364,67,67,47,18,0
204223,147920,38,38,40,19,1
204436,71075,90,87,72,21,1
204549,55248,19,14,13,16,1
204749,233267,59,61,55,19,1
205483,225947,71,53,45,17,1
205965,74688,76,69,57,16,1
206117,195967,44,52,42,19,0
206290,13910,114,101,90,17,1
206365,85844,77,72,62,16,1
207215,108957,61,62,63,15,0
207641,238214,91,100,93,20,1
207806,169120,47,53,49,18,0
208028,219685,59,42,69,20,0
208688,73885,91,87,89,17,1
209040,83187,81,76,73,17,1
209306,249494,55,22,11,19,0
209314,51287,82,64,62,18,1
209628,242867,97,120,92,20,0
209978,29276,101,76,0,18,1
210078,236577,40,86,76,18,0
210348,60560,55,59,53,18,0
210381,285365,51,55,56,18,0
210966,160121,59,55,49,20,0
211085,156250,40,47,48,16,0
211221,189306,74,50,56,20,1
211377,67711,38,43,43,20,1
211862,30979,39,46,28,13,0
212014,28998,76,52,72,18,0
200074,289311,54,64,0,20,1
200457,73557,82,84,91,15,0
200669,286828,30,70,56,19,1
201008,171511,63,58,54,19,1
201121,222246,84,88,81,19,1
201179,233577,8,6,0,20,0
201254,108120,78,64,68,15,1
201685,158391,91,77,72,20,1
203054,8051,60,61,42,17,0
203470,111631,86,80,82,17,1
203497,30981,95,72,52,19,0
203692,184835,66,64,55,18,1
204604,77767,27,53,44,16,1
205767,288575,59,44,43,20,0
206050,207366,52,67,81,18,1
206068,97328,74,89,99,16,1
206177,92995,56,47,0,18,0
207010,213132,78,67,72,19,0
207124,13910,93,91,90,17,1
208460,162199,33,47,11,18,1
209063,151725,85,70,47,18,1
209499,31490,82,67,81,19,1
210268,156656,61,45,55,18,0
210407,7845,81,74,75,20,1
210483,285034,90,112,114,15,0
210595,189823,63,76,71,19,1
210622,253265,90,108,98,19,1
211223,93143,34,14,27,17,0
212102,100889,63,58,57,17,0
200055,134398,62,71,57,20,1
200193,230030,79,65,12,20,0
200270,145667,37,64,44,17,0
201703,44383,63,60,50,20,1
201786,164177,50,46,44,20,0
201907,98681,94,95,91,16,1
202570,249975,54,64,42,18,1
202744,98681,91,91,86,16,1
203133,193529,77,76,78,15,1
203262,176480,51,79,74,20,0
203579,128892,76,88,68,20,0
203614,125802,89,84,85,18,1
203847,137348,105,97,70,18,0
204683,56334,83,85,86,16,1
204749,123367,33,27,34,18,0
205243,175571,19,24,23,17,0
205483,123878,62,59,48,17,0
206145,88592,68,61,77,19,1
206313,82732,57,84,70,18,1
206423,134510,32,24,21,20,0
206912,232699,41,42,41,18,0
207413,40792,51,49,59,19,0
207458,252434,44,24,13,17,0
207636,247075,10,18,30,19,0
207860,184094,76,0,0,17,1
208241,4214,0,2,12,17,0
208280,138089,88,70,78,20,0
209562,207532,29,25,49,20,0
210258,130286,68,73,74,19,0
210313,288674,42,57,56,20,0
210330,227624,77,36,52,19,1
210793,279759,4,3,5,18,0
210889,67879,92,96,85,15,0
211308,50778,55,56,55,20,1
211827,119355,91,0,0,18,0
200118,284107,54,63,61,18,1
200229,98915,66,77,65,16,0
200270,44963,72,82,73,20,1
202341,239040,44,0,0,19,0
202742,54263,51,50,53,19,1
202805,250913,116,61,57,20,1
202891,144535,47,42,32,19,0
204091,119294,82,82,79,17,0
204171,78355,0,0,0,16,0
204436,217483,96,99,92,17,0
204549,50229,4,3,4,18,0
204551,124372,52,52,43,20,0
205299,264668,90,81,90,16,0
205384,187162,77,39,45,19,1
205695,206359,49,62,68,19,0
206245,100384,66,68,62,18,1
206490,265755,134,84,80,16,1
206596,225974,80,74,74,16,1
207093,10559,94,0,0,6,0
207176,168118,62,59,53,18,1
208270,30477,101,87,84,18,0
208270,88927,87,0,0,20,1
209092,256740,87,92,90,19,0
209570,28086,132,151,0,19,0
209778,90303,70,62,60,20,0
209881,69860,17,17,17,17,0
210206,21415,31,30,32,17,0
210335,218197,84,78,0,18,1
210746,288520,62,57,60,17,1
211386,192136,34,76,80,18,0
211549,294612,73,68,61,19,0
211598,95460,63,57,53,20,1
200383,145554,59,64,60,16,1
200637,87423,58,52,55,16,1
200662,19685,56,74,73,16,0
201339,248975,63,57,71,20,0
201583,76149,90,91,81,13,1
202063,204267,29,45,47,15,1
203194,117,63,73,73,14,1
203630,22158,48,67,79,17,1
203841,64884,19,30,38,20,0
204091,38570,71,70,66,17,0
204372,58443,102,112,96,10,1
204554,184166,22,30,7,21,0
204731,159637,77,72,69,14,1
205409,269463,92,63,51,20,1
205440,102349,71,67,73,5,0
205802,155596,14,83,78,18,1
